time,cases
947290000000,17
947894400000,10
948499200000,15
949104000000,15
949708800000,13
950313600000,19
950918400000,5
951523200000,16
952128000000,14
952732800000,11
953337600000,3
953942400000,12
954547200000,6
955152000000,4
955756800000,8
956361600000,8
956966400000,12
957571200000,11
958176000000,7
958780800000,13
959385600000,7
959990400000,9
960595200000,14
961200000000,10
961804800000,11
962409600000,21
963014400000,13
963619200000,12
964224000000,13
964828800000,17
965433600000,24
966038400000,11
966643200000,22
967248000000,20
967852800000,10
968457600000,11
969062400000,7
969667200000,27
970272000000,18
970876800000,14
971481600000,14
972086400000,11
972691200000,9
973296000000,14
973900800000,11
974505600000,15
975110400000,19
975715200000,9
976320000000,8
976924800000,13
977529600000,22
978134400000,18
978739200000,11
979344000000,22
979948800000,24
980553600000,15
981158400000,26
981763200000,16
982368000000,23
982972800000,33
983577600000,30
984182400000,29
984787200000,47
985392000000,38
985996800000,29
986601600000,30
987206400000,15
987811200000,39
988416000000,33
989020800000,37
989625600000,40
990230400000,42
990835200000,65
991440000000,40
992044800000,40
992649600000,36
993254400000,77
993859200000,55
994464000000,126
995068800000,69
995673600000,79
996278400000,78
996883200000,90
997488000000,76
998092800000,100
998697600000,64
999302400000,63
999907200000,86
1000512000000,83
1001116800000,55
1001721600000,52
1002326400000,51
1002931200000,51
1003536000000,35
1004140800000,32
1004745600000,35
1005350400000,37
1005955200000,32
1006560000000,41
1007164800000,26
1007769600000,41
1008374400000,35
1008979200000,26
1009584000000,17
1010188800000,20
1010793600000,23
1011398400000,23
1012003200000,19
1012608000000,20
1013212800000,18
1013817600000,12
1014422400000,27
1015027200000,19
1015632000000,12
1016236800000,32
1016841600000,17
1017446400000,25
1018051200000,41
1018656000000,40
1019260800000,33
1019865600000,41
1020470400000,45
1021075200000,64
1021680000000,58
1022284800000,79
1022889600000,55
1023494400000,51
1024099200000,60
1024704000000,63
1025308800000,54
1025913600000,91
1026518400000,105
1027123200000,113
1027728000000,115
1028332800000,136
1028937600000,83
1029542400000,154
1030147200000,147
1030752000000,156
1031356800000,144
1031961600000,159
1032566400000,139
1033171200000,129
1033776000000,124
1034380800000,141
1034985600000,121
1035590400000,110
1036195200000,101
1036800000000,95
1037404800000,99
1038009600000,96
1038614400000,96
1039219200000,72
1039824000000,87
1040428800000,115
1041033600000,64
1041638400000,68
1042243200000,104
1042848000000,97
1043452800000,86
1044057600000,89
1044662400000,64
1045267200000,89
1045872000000,89
1046476800000,100
1047081600000,62
1047686400000,93
1048291200000,86
1048896000000,65
1049500800000,98
1050105600000,65
1050710400000,55
1051315200000,76
1051920000000,38
1052524800000,81
1053129600000,96
1053734400000,127
1054339200000,189
1054944000000,258
1055548800000,165
1056153600000,165
1056758400000,131
1057363200000,144
1057968000000,128
1058572800000,78
1059177600000,75
1059782400000,62
1060387200000,63
1060992000000,64
1061596800000,83
1062201600000,93
1062806400000,51
1063411200000,79
1064016000000,61
1064620800000,78
1065225600000,67
1065830400000,75
1066435200000,67
1067040000000,74
1067644800000,98
1068249600000,100
1068854400000,94
1069459200000,90
1070064000000,60
1070668800000,67
1071273600000,95
1071878400000,83
1072483200000,71
1073088000000,53
1073692800000,81
1074297600000,87
1074902400000,57
1075507200000,81
1076112000000,70
1076716800000,63
1077321600000,62
1077926400000,56
1078531200000,67
1079136000000,58
1079740800000,36
1080345600000,43
1080950400000,42
1081555200000,38
1082160000000,99
1082764800000,83
1083369600000,90
1083974400000,139
1084579200000,119
1085184000000,93
1085788800000,129
1086393600000,149
1086998400000,135
1087603200000,156
1088208000000,163
1088812800000,163
1089417600000,191
1090022400000,220
1090627200000,222
1091232000000,221
1091836800000,311
1092441600000,258
1093046400000,281
1093651200000,332
1094256000000,276
1094860800000,314
1095465600000,263
1096070400000,325
1096675200000,302
1097280000000,244
1097884800000,340
1098489600000,314
1099094400000,260
1099699200000,258
1100304000000,192
1100908800000,263
1101513600000,316
1102118400000,300
1102723200000,305
1103328000000,329
1103932800000,290
1104537600000,243
1105142400000,317
1105747200000,298
1106352000000,217
1106956800000,272
1107561600000,282
1108166400000,198
1108771200000,317
1109376000000,237
1109980800000,156
1110585600000,158
1111190400000,103
1111795200000,100
1112400000000,138
1113004800000,125
1113609600000,118
1114214400000,139
1114819200000,118
1115424000000,137
1116028800000,151
1116633600000,160
1117238400000,163
1117843200000,139
1118448000000,212
1119052800000,259
1119657600000,318
1120262400000,389
1120867200000,361
1121472000000,362
1122076800000,408
1122681600000,353
1123286400000,338
1123891200000,307
1124496000000,414
1125100800000,493
1125705600000,546
1126310400000,690
1126915200000,697
1127520000000,714
1128124800000,541
1128729600000,472
1129334400000,387
1129939200000,358
1130544000000,331
1131148800000,222
1131753600000,175
