year,population
1960,"1,646,400"
1961,"1,702,400"
1962,"1,750,200"
1963,"1,795,000"
1964,"1,841,600"
1965,"1,886,900"
1966,"1,934,400"
1967,"1,977,600"
1968,"2,012,000"
1969,"2,042,500"
1970,"2,074,507"
1971,"2,112,900"
1972,"2,152,400"
1973,"2,193,000"
1974,"2,229,800"
1975,"2,262,600"
1976,"2,293,300"
1977,"2,325,300"
1978,"2,353,600"
1979,"2,383,500"
1980,"2,413,945"
1981,"2,532,835"
1982,"2,646,466"
1983,"2,681,061"
1984,"2,732,221"
1985,"2,735,957"
1986,"2,733,373"
1987,"2,774,789"
1988,"2,846,108"
1989,"2,930,901"
1990,"3,047,132"
1991,"3,135,083"
1992,"3,230,698"
1993,"3,313,471"
1994,"3,419,048"
1995,"3,524,506"
1996,"3,670,704"
1997,"3,796,038"
1998,"3,927,213"
1999,"3,958,723"
2000,"4,027,887"
2001,"4,138,012"
2002,"4,175,950"
2003,"4,114,826"
2004,"4,166,664"
2005,"4,265,762"
2006,"4,401,365"
2007,"4,588,599"
2008,"4,839,396"
2009,"4,987,573"
2010,"5,076,732"
2011,"5,183,688"
2012,"5,312,437"
2013,"5,399,162"
2014,"5,469,724"
2015,"5,535,002"
2016,"5,607,283"
2017,"5,612,253"
2018,"5,638,676"
2019,"5,703,569"
